
4:33:00 PM,Friday, October 28, 2016
Time,Tags,Object,Message
1.117883,Warning,null,Debug Create XVInputInterface User2 : Controller
1.121591,Log,null,Create interface= XVInputController: id= 1
1.124507,Warning,null,Debug Create XVInputInterface User1 : Controller
1.128061,Warning,null,Debug Create interface= XVInputKeyboard: id= 0
1.130961,Warning,null,Debug Create XVInputInterface User3 : Controller
1.134133,Log,null,Create interface= XVInputController: id= 2
1.136965,Warning,null,Debug Create XVInputInterface User4 : Controller
1.139992,Log,null,Create interface= XVInputController: id= 3
3.972677,Log,null,Magazine SubBallet: 1  5/6
4.562171,Log,null,Magazine SubBallet: 1  4/6
5.7033,Log,null,Magazine SubBallet: 1  3/6
7.233015,Log,null,Magazine SubBallet: 1  2/6
7.730211,Log,null,Magazine SubBallet: 1  1/6
10.31544,Log,null,Magazine SubBallet: 1  0/6
11.98851,Log,null,Magazine Reload
14.00322,Log,null,Magazine Finish Reload
16.21213,Log,null,Magazine SubBallet: 1  5/6
17.25481,Log,null,Magazine Reload
19.26457,Log,null,Magazine Finish Reload
26.0106,Log,null,Magazine SubBallet: 1  5/6
26.42989,Log,null,Magazine SubBallet: 1  4/6
27.37186,Log,null,Magazine SubBallet: 1  3/6
28.32538,Log,null,Magazine SubBallet: 1  2/6
28.62056,Log,null,Magazine SubBallet: 1  1/6
28.96458,Log,null,Magazine SubBallet: 1  0/6
31.57211,Log,null,Magazine Reload
33.57412,Log,null,Magazine Finish Reload
41.43807,Log,null,Magazine SubBallet: 1  5/6
42.05413,Log,null,Magazine SubBallet: 1  4/6
42.55155,Log,null,Magazine SubBallet: 1  3/6
42.83062,Log,null,Magazine SubBallet: 1  2/6
43.3466,Log,null,Magazine SubBallet: 1  1/6
43.61919,Log,null,Magazine SubBallet: 1  0/6
47.65407,Log,null,Magazine Reload
49.65855,Log,null,Magazine Finish Reload
50.73764,Log,null,Magazine SubBallet: 1  5/6
53.81376,Log,null,Magazine SubBallet: 1  4/6
54.6737,Log,null,Magazine SubBallet: 1  3/6
55.08444,Log,null,Magazine SubBallet: 1  2/6
55.48188,Log,null,Capture Screenshot! : pass = ScreenShot
55.48755,Log,null,DebugSystem:DumpLog

4:35:31 PM,Friday, October 28, 2016
Time,Tags,Object,Message
55.59604,Log,null,Magazine SubBallet: 1  1/6
56.0125,Log,null,Magazine SubBallet: 1  0/6
56.46008,Log,null,Magazine Reload
58.47044,Log,null,Magazine Finish Reload
63.57635,Log,null,Magazine SubBallet: 1  5/6
64.35157,Log,null,Magazine Reload
66.36072,Log,null,Magazine Finish Reload
81.06734,Log,null,Magazine Start UnlimitedBallet
82.46445,Log,null,Magazine Start UnlimitedBallet
85.28944,Log,null,Magazine SubBallet: 1  6/6
86.19881,Log,null,Magazine SubBallet: 1  6/6
86.8512,Log,null,Magazine SubBallet: 1  6/6
92.46745,Log,null,Magazine Finish UnlimitedBallet
92.98736,Log,null,Magazine SubBallet: 1  5/6
93.74148,Log,null,Magazine SubBallet: 1  4/6
94.67285,Log,null,Magazine SubBallet: 1  3/6
94.96731,Log,null,Magazine SubBallet: 1  2/6
95.47532,Log,null,Magazine SubBallet: 1  1/6
95.98386,Log,null,Magazine SubBallet: 1  0/6
96.47064,Log,null,Magazine Reload
98.47111,Log,null,Magazine Finish Reload
99.08807,Log,null,Magazine SubBallet: 1  5/6
99.68394,Log,null,Magazine SubBallet: 1  4/6
102.6401,Log,null,Magazine SubBallet: 1  3/6
103.0489,Log,null,Magazine SubBallet: 1  2/6
106.5116,Log,null,Magazine SubBallet: 1  1/6
113.753,Log,null,Magazine Reload
115.7588,Log,null,Magazine Finish Reload
116.4288,Log,null,Magazine SubBallet: 1  5/6
116.7881,Log,null,Magazine SubBallet: 1  4/6
117.1605,Log,null,Magazine SubBallet: 1  3/6
117.6468,Log,null,Magazine SubBallet: 1  2/6
118.1055,Log,null,Magazine SubBallet: 1  1/6
119.2759,Log,null,Magazine SubBallet: 1  0/6
119.7619,Log,null,Magazine Reload
121.762,Log,null,Magazine Finish Reload
122.0038,Log,null,Magazine SubBallet: 1  5/6
122.4091,Log,null,Magazine SubBallet: 1  4/6
122.8567,Log,null,Magazine SubBallet: 1  3/6
123.3606,Log,null,Magazine SubBallet: 1  2/6
123.8473,Log,null,Magazine SubBallet: 1  1/6
124.3726,Log,null,Magazine SubBallet: 1  0/6
124.8878,Log,null,Magazine Reload
126.8934,Log,null,Magazine Finish Reload
162.7359,Log,null,Magazine SubBallet: 1  5/6
163.1382,Log,null,Magazine SubBallet: 1  4/6
163.5227,Log,null,Magazine SubBallet: 1  3/6
163.9856,Log,null,Magazine SubBallet: 1  2/6
164.3219,Log,null,Magazine SubBallet: 1  1/6
164.7526,Log,null,Magazine SubBallet: 1  0/6
165.1633,Log,null,Magazine Reload
167.1707,Log,null,Magazine Finish Reload
205.9585,Log,null,Capture Screenshot! : pass = ScreenShot
205.9615,Log,null,DebugSystem:DumpLog
